1,Zondervan,"11140 Punta Rassa Lane, Erie, ",+1 380 098 0081,gaultiero.goundsy@yahoo.com
10,HarperCollins,"12585 Evelynton Loop, Columbus",+1 903 022 0047,rolando.maclachlan@hotmail.com
100,Scholastic,"8416 Allenwood Loop, Atlanta, ",+1 344 009 0024,carley.tumulty@hotmail.com
11,Oxford University Pr,"10458 Becker Avenue, Tulsa, Ok",+1 298 078 0037,man.brome@hotmail.com
12,Penguin Random House,"10884 Baldwin Run, San Antonio",+1 816 038 0023,sylas.neller@yahoo.com
13,Oxford University Pr,"13579 Pospisil Avenue, Philade",+1 282 081 0080,wally.garrat@gmail.com
14,Zondervan,"11268 Astoria Avenue, Rocheste",+1 010 033 0033,herman.gowler@yahoo.com
15,MIT Press,"10020 Bladewood Court, Albuque",+1 202 029 0032,granthem.farr@gmail.com
16,SAGE Publications,"9086 Westminster Court, Sacram",+1 697 054 0005,di.bolver@gmail.com
17,John Wiley & Sons,"1657 Belknap Avenue, Tacoma, W",+1 401 021 0077,rosie.hutchings@verizon.net
18,Pearson,"14596 Chimborazo Way, Louisvil",+1 979 032 0042,theodosia.corten@bigpond.com
19,Zondervan,"6523 Loomis Lane, Tucson, Ariz",+1 558 064 0023,shanna.mapholm@hotmail.com
2,Oxford University Pr,"5178 Kennedy Avenue, Valdosta,",+1 838 067 0079,crin.dislee@yahoo.com
20,Scholastic,"13911 Indigo Avenue, Birmingha",+1 289 085 0034,yettie.tollemache@yahoo.com
21,MIT Press,"759 Aurea Place, Mobile, Alaba",+1 785 088 0004,anett.tudball@gmail.com
22,Wiley,"79 Sugar Cane Court, Houston, ",+1 104 095 0029,clayton.fewkes@yahoo.co.uk
23,University of Chicag,"292 Kim Lane, Pittsburgh, Penn",+1 191 003 0091,domeniga.maccathay@hotmail.com
24,Simon & Schuster,"13076 Bugle Terrace, Phoenix, ",+1 896 062 0060,mallory.yockley@hotmail.es
25,University of Chicag,"11447 Chesapeake Place, Orland",+1 771 041 0033,natty.edinburough@gmail.com
26,Bloomsbury Publishin,"585 Morley Avenue, Wichita, Ka",+1 167 034 0000,tally.jakeman@ntlworld.com
27,Wiley,"4273 Fayette Court, Southfield",+1 632 084 0036,ariela.bissell@yahoo.com
28,SAGE Publications,"6376 Melissa Lane, Greensboro,",+1 034 030 0090,emanuel.marsy@gmail.com
29,Hachette Livre,"7570 Clifford Court, Spring, T",+1 976 035 0072,stanly.satchel@yahoo.fr
3,Wiley,"7040 Palermo Place, Springfiel",+1 434 097 0030,patsy.thomerson@aol.com
30,Cambridge University,"8581 Hazelwood Loop, Newark, N",+1 674 066 0064,elton.southcombe@yahoo.com
31,Penguin Random House,"13629 Gale Lane, Seattle, Wash",+1 092 045 0053,korie.mulrooney@yahoo.com
32,Springer Nature,"8935 Arbor Trail, Colorado Spr",+1 872 093 0024,earvin.miller@free.fr
33,SAGE Publications,"3666 Lake Miona Drive, Toledo,",+1 938 049 0020,adiana.wager@live.com
34,HarperCollins,"14449 Vision Court, Wilmington",+1 012 005 0047,drew.bilby@hotmail.com
35,SAGE Publications,"2541 Ely Circle, Washington, D",+1 623 017 0079,sergei.burgan@yahoo.com
36,MIT Press,"10646 Landon Avenue, Glendale,",+1 955 018 0066,sauveur.fairholm@yahoo.com
